society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,latitude,longitude
godrej meridien,Sector 106 ,2.85,15364.0,3,3,3,8,East,Relatively New,1653.0,1,1,0,1,1,Unknown,5,28.508180555555555,76.98680555555556
experion windchants,Sector 112 ,6.25,16609.0,3,5,3,6,North,Moderately Old,2873.18,0,1,0,0,0,Semi-Furnished,0,28.518719444444443,77.01445833333334
godrej 101,Sector 79 ,3.5,16471.0,3,3,3,11,North,Under Construction,1603.0,0,1,0,0,0,Unknown,0,28.359336862784,76.969226515169
dlf new town heights 1,Sector 90 ,2.85,10451.0,4,4,3+,4,North-West,Moderately Old,2725.0,0,1,0,1,0,Semi-Furnished,21,28.4034419,76.9307747
experion windchants,Sector 112 ,8.4,17327.0,4,6,3+,6,West,Moderately Old,3655.35,0,1,0,0,0,Unknown,0,28.518719444444443,77.01445833333334
bptp freedom park life,Sector 57 ,2.6,15294.0,2,2,3+,10,West,Old Property,1515.0,1,0,0,0,0,Semi-Furnished,12,28.425355555555555,77.07143333333333
bptp park generations,Sector 37D ,2.1,11230.0,3,3,3,3,North-East,New Property,1684.0,1,0,0,0,0,Unknown,0,28.453344871064346,76.9756264782197
ramprastha primera,Sector 37D ,1.7,9444.0,3,3,3,7,West,Relatively New,1604.0,0,0,1,0,0,Semi-Furnished,0,28.452735465045656,76.97311461526654
sare crescent parc,Sector 92 ,2.0,10627.0,4,3,3,14,East,Relatively New,2163.0,0,0,1,0,0,Unknown,5,28.412703944286,76.914061602923
ireo skyon,Sector 60 ,3.95,19315.0,3,4,3,5,North-West,Relatively New,1811.0,0,1,0,0,0,Semi-Furnished,16,28.3994538,77.0958178
dlf the icon,DLF Phase 5,7.9,30268.0,4,4,3,10,East,Moderately Old,3000.0,0,1,0,0,0,Semi-Furnished,0,28.449969444444445,77.10167777777777
dlf the belaire,Sector 54 ,14.35,34167.0,4,4,3,9,East,Moderately Old,4828.0,1,0,0,0,0,Semi-Furnished,10,28.449969444444445,77.10167777777777
dlf new town heights 1,Sector 90 ,2.9,10634.0,4,4,3+,17,North-East,Moderately Old,2530.0,0,1,0,0,0,Unknown,8,28.4038812,76.9305358
bptp mansions park prime,Sector 66 ,3.98,13075.0,4,4,3+,2,North-East,Relatively New,3499.0,1,1,0,1,0,Semi-Furnished,14,28.39476388888889,77.06033055555555
godrej air,Sector 85 ,3.51,13505.0,4,4,3,12,East,New Property,2987.0,0,1,1,0,0,Semi-Furnished,19,28.40715160313309,76.95137050058084
conscient elevate,Sector 59 ,6.15,23699.0,3,3,3,9,East,New Property,1922.0,0,1,0,0,0,Semi-Furnished,19,28.4094693,77.1048278
