property_name,property_id,link
"3 BHK Flat in Sector 63A, Gurgaon",A89505390,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tarc-ishva-sector-63a-gurgaon-1588-sq-ft-spid-A89505390
"3 BHK Flat in Sector 89, Gurgaon",N89010254,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-greenopolis-sector-89-gurgaon-1910-sq-ft-spid-N89010254
"4 BHK Flat in Sector 30, Gurgaon",T86480866,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-unitech-the-world-spa-west-sector-30-gurgaon-5138-sq-ft-r1-spid-T86480866
"3 BHK Flat in Sector 59, Gurgaon",I89845168,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-4s-the-aurrum-sector-59-gurgaon-2624-sq-ft-spid-I89845168
"3 BHK Flat in Sector 103, Gurgaon",Y88971430,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-vrikshya-sector-103-gurgaon-2430-sq-ft-spid-Y88971430
"5 BHK Flat in Sector 52, Gurgaon",P88860540,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-sector-52-gurgaon-3500-sq-ft-spid-P88860540
"1 BHK Flat in Sector 48, Gurgaon",C90070844,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-central-park-the-room-sector-48-gurgaon-800-sq-ft-spid-C90070844
"3 BHK Flat in Sector 37D, Gurgaon",C90012968,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-de-luxe-dxp-sector-37d-gurgaon-2469-sq-ft-spid-C90012968
"4 BHK Flat in Sector 108, Gurgaon",L89792628,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2913-sq-ft-spid-L89792628
"4 BHK Flat in Golf Course Road, Gurgaon",X89588032,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-golf-course-road-gurgaon-2160-sq-ft-spid-X89588032
"3 BHK Flat in Sector 69, Gurgaon",U88313564,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-spid-U88313564
"3 BHK Flat in Sector 70A, Gurgaon",H90348582,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-escala-sector-70a-gurgaon-2150-sq-ft-spid-H90348582
"4 BHK Flat in Sector 54, Gurgaon",F90070694,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-astra-sector-54-gurgaon-3994-sq-ft-spid-F90070694
"4 BHK Flat in Sector 108, Gurgaon",B89792454,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2343-sq-ft-spid-B89792454
"3 BHK Flat in Sector 108, Gurgaon",M89784216,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1711-sq-ft-spid-M89784216
"3 BHK Flat in Sector 102, Gurgaon",G89699216,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-amstoria-verti-greens-sector-102-gurgaon-2459-sq-ft-spid-G89699216
"2 BHK Flat in South City 1, Gurgaon",N84843888,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-the-retreat-south-city-1-gurgaon-1212-sq-ft-spid-N84843888
"4 BHK Flat in Sector 108, Gurgaon",M89328513,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2423-sq-ft-spid-M89328513
"3 BHK Flat in Sector 108, Gurgaon",F89328011,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2003-sq-ft-spid-F89328011
"4 BHK Flat in Sector 108, Gurgaon",H89813366,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2434-sq-ft-spid-H89813366
"3 BHK Flat in Sector 108, Gurgaon",K89328281,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2343-sq-ft-spid-K89328281
"4 BHK Flat in Sector 99, Gurgaon",E83648904,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-assotech-blith-sector-99-gurgaon-2835-sq-ft-spid-E83648904
"4 BHK Flat in Sector 54, Gurgaon",I84699696,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-belaire-sector-54-gurgaon-3065-sq-ft-spid-I84699696
"4 BHK Flat in Nangli Umarpur, Gurgaon",I90075242,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-nangli-umarpur-gurgaon-1647-sq-ft-spid-I90075242
"3 BHK Flat in Sector 79, Gurgaon",M90421028,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mapsko-mount-ville-sector-79-gurgaon-1490-sq-ft-spid-M90421028
"3 BHK Flat in Sector 108, Gurgaon",U63684746,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-r9-spid-U63684746
"3 BHK Flat in Sector 89, Gurgaon",H90503742,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-greenopolis-sector-89-gurgaon-1910-sq-ft-spid-H90503742
"4 BHK Flat in Sector 92, Gurgaon",X90074786,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-raheja-navodaya-sector-92-gurgaon-1850-sq-ft-spid-X90074786
"2 BHK Flat in Sohna, Gurgaon",Z89689346,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-476-sq-ft-spid-Z89689346
"3 BHK Flat in Sector 70, Gurgaon",J85002254,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-r1-spid-J85002254
"4 BHK Flat in Sector 104, Gurgaon",K78440425,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-K78440425
"3 BHK Flat in Sector 70, Gurgaon",D86216530,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-r1-spid-D86216530
"3 BHK Flat in Sector 112, Gurgaon",K90719878,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-2802-sq-ft-spid-K90719878
"3 BHK Flat in Sector 86, Gurgaon",K88533592,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-K88533592
"3 BHK Flat in Sector 112, Gurgaon",W75781455,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-3763-sq-ft-r3-spid-W75781455
"3 BHK Flat in Sector 86, Gurgaon",E89663104,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1930-sq-ft-spid-E89663104
"3 BHK Flat in Sector 85, Gurgaon",G88567928,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-2129-sq-ft-spid-G88567928
"3 BHK Flat in Sector 108, Gurgaon",G88355382,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2343-sq-ft-spid-G88355382
"2 BHK Flat in Sector 85, Gurgaon",Y90186226,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-1405-sq-ft-spid-Y90186226
"3 BHK Flat in Sector 102, Gurgaon",B90052158,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-B90052158
"2 BHK Flat in Sector 108, Gurgaon",Z77225355,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-spid-Z77225355
"3 BHK Flat in Sector 93, Gurgaon",R88997686,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-gardencity-enclave-sector-93-gurgaon-1650-sq-ft-spid-R88997686
"3 BHK Flat in Sohna, Gurgaon",L89691650,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-714-sq-ft-spid-L89691650
"4 BHK Flat in Sector 49, Gurgaon",V90565624,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-city-sector-49-gurgaon-2999-sq-ft-spid-V90565624
"3 BHK Flat in Sector 49, Gurgaon",P90072886,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-city-2-sector-49-gurgaon-1859-sq-ft-spid-P90072886
"2 BHK Flat in Sector 81, Gurgaon",V90472882,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-ananda-sector-81-gurgaon-1360-sq-ft-spid-V90472882
"4 BHK Flat in Sector 54, Gurgaon",X86981368,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-crest-sector-54-gurgaon-3541-sq-ft-spid-X86981368
"3 BHK Flat in Sector 86, Gurgaon",R88783608,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1930-sq-ft-spid-R88783608
"3 BHK Flat in Sector 85, Gurgaon",F83493096,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ss-the-leaf-sector-85-gurgaon-2408-sq-ft-spid-F83493096
"3 BHK Flat in Sector 67, Gurgaon",Q83269066,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-merlin-sector-67-gurgaon-2400-sq-ft-r1-spid-Q83269066
"4 BHK Flat in Sector 59, Gurgaon",I80273875,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2533-sq-ft-r1-spid-I80273875
"2 BHK Flat in Sohna, Gurgaon",P89689912,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-476-sq-ft-spid-P89689912
"2 BHK Flat in Sohna, Gurgaon",U89655470,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-breez-global-hill-view-sohna-gurgaon-685-sq-ft-spid-U89655470
"3 BHK Flat in Sector 63A, Gurgaon",K90371212,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-anant-raj-sector-63a-gurgaon-1408-sq-ft-spid-K90371212
"4 BHK Flat in Sector 9A, Gurgaon",I83612474,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-oriental-valley-chs-sector-9a-gurgaon-2200-sq-ft-r1-spid-I83612474
"3 BHK Flat in Sector 108, Gurgaon",Y81624173,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2343-sq-ft-spid-Y81624173
"3 BHK Flat in Sector 59, Gurgaon",L88115340,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2095-sq-ft-spid-L88115340
"3 BHK Flat in Sector 66, Gurgaon",T90132218,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-the-palm-drive-sector-66-gurgaon-1950-sq-ft-spid-T90132218
"5 BHK Flat in Sector 102, Gurgaon",R89445256,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-7283-sq-ft-spid-R89445256
"3 BHK Flat in Sector 79, Gurgaon",H90475320,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golf-hills-sector-79-gurgaon-1902-sq-ft-spid-H90475320
"5 BHK Flat in Sector 42, Gurgaon",R81172779,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-magnolias-sector-42-gurgaon-10800-sq-ft-r2-spid-R81172779
"3 BHK Flat in Sector 66, Gurgaon",X89450994,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-the-palm-drive-sector-66-gurgaon-1950-sq-ft-spid-X89450994
"3 BHK Flat in Sector 93, Gurgaon",A90262826,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-gardencity-enclave-sector-93-gurgaon-1625-sq-ft-spid-A90262826
"4 BHK Flat in Sector 90, Gurgaon",N88499384,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-2727-sq-ft-r1-spid-N88499384
"4 BHK Flat in Sector 112, Gurgaon",C75782239,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4739-sq-ft-r6-spid-C75782239
"3 BHK Flat in Sector 83, Gurgaon",J90351938,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-gardens-sector-83-gurgaon-1900-sq-ft-spid-J90351938
"4 BHK Flat in Sector 76, Gurgaon",N89380675,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-privana-west-sector-76-gurgaon-3577-sq-ft-spid-N89380675
"2 BHK Flat in Sector 47, Gurgaon",G90284396,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-unitech-uniworld-gardens-2-sector-47-gurgaon-997-sq-ft-spid-G90284396
"3 BHK Flat in Sector 69, Gurgaon",Y86186738,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-69-gurgaon-2355-sq-ft-spid-Y86186738
"2 BHK Flat in Sector 62, Gurgaon",K90535794,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-emaar-digihomes-sector-62-gurgaon-1505-sq-ft-spid-K90535794
